Rank,Image,Product name,Category,Material (as stated),Seller / Brand,Channel,Current price (USD),Sale / list price (USD),Size / dimensions (as stated),Rating (of 5),Review count,Best-seller proxy (type + value),Product URL,Image URL,Fetched at,Status / notes
11,(image embedded in xlsx),CRAFT Avni Arched Natural Carved Wood Floral Storage Cabinet,Storage cabinet / chest,"Mango wood, hand-carved floral cutwork, natural finish",World Market,World Market,1499.99,,"32""W x 16""D x 72""H, 105 lb",4.5,43,"[Tier B] 43 reviews, 4.5 avg; World Market 'Top Sellers' sort #29 for search 'carved wood'",https://www.worldmarket.com/p/craft-avni-arched-natural-carved-wood-floral-storage-cabinet-598655.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dwbb8342d8/images/large/100650_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK
12,(image embedded in xlsx),Paulownia Wood Tripod Plant Stand,Planter / plant stand,Paulownia wood,World Market,World Market,29.99,,"11.5"" dia x 5""H",4.9,40,"[Tier B] 40 reviews, 4.9 avg; World Market 'Top Sellers' sort #6 for search 'wood plant stand'",https://www.worldmarket.com/p/paulownia-wood-tripod-plant-stand-607343.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dw92e65f20/images/large/106976_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:43 UTC,OK
13,(image embedded in xlsx),Mango Wood Footed Serving Tray,Kitchen & serveware,"Solid mango wood, burnt finish, made in India",World Market,World Market,34.99,,"Medium 6""W x 12""L x 2.5""H (also large)",4.9,38,"[Tier B] 38 reviews, 4.9 avg; World Market 'Top Sellers' sort #28 for search 'wood tray'",https://www.worldmarket.com/p/mango-wood-footed-serving-tray-113191.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dwc98cff47/images/large/113191_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK
14,(image embedded in xlsx),Anish Round Natural Wood Ribbed Pedestal Side Table,Side / end table,Handcrafted of natural mango wood,World Market,World Market,149.99,,"14"" dia x 21""H, 17 lb",5.0,33,"[Tier B] 33 reviews, 5.0 avg; World Market 'Top Sellers' sort #7 for search 'wood side table'",https://www.worldmarket.com/p/anish-round-natural-wood-ribbed-pedestal-side-table-635511.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dwa2ce24df/images/large/122622_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK
15,(image embedded in xlsx),CRAFT Short Teal Carved Wood Peacock Storage Cabinet,Storage cabinet / chest,"Mango wood, hand-carved peacock, distressed teal, metal stand",World Market,World Market,699.99,,"32""W x 16""D x 42""H, 77 lb",4.6,31,"[Tier B] 31 reviews, 4.6 avg; World Market 'Top Sellers' sort #10 for search 'carved wood'",https://www.worldmarket.com/p/craft-short-teal-carved-wood-peacock-storage-cabinet-638915.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dw56b8bb65/images/large/125084_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK
16,(image embedded in xlsx),Thailand Acacia Wood Serving Bowl,Kitchen & serveware,Acacia wood (made in Thailand),World Market,World Market,27.98,39.99,"12"" dia x 5""H",4.7,30,"[Tier B] 30 reviews, 4.7 avg; World Market 'Top Sellers' sort #7 for search 'wood serving bowl'",https://www.worldmarket.com/p/thailand-acacia-wood-serving-bowl-558030.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dw80243635/images/large/77838_XXX_v1.tif?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:43 UTC,OK
17,(image embedded in xlsx),CRAFT Multicolor Carved Wood Elephant Floor Decor,Décor figure,"Mango wood, hand-carved & hand-painted, India",World Market,World Market,249.99,,"24.5""W x 9""D x 23.5""H",5.0,24,"[Tier B] 24 reviews, 5.0 avg; World Market 'Top Sellers' sort #16 for search 'wood side table'",https://www.worldmarket.com/p/craft-multicolor-carved-wood-elephant-floor-decor-634762.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dwfeb04c92/images/large/124485_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:43 UTC,OK
18,(image embedded in xlsx),Brentwood Round Natural Wood Pedestal End Table,Side / end table,Natural mango wood,World Market,World Market,149.99,,"17"" dia x 23""H, 14 lb",4.9,23,"[Tier B] 23 reviews, 4.9 avg; World Market 'Top Sellers' sort #3 for search 'wood side table'",https://www.worldmarket.com/p/brentwood-round-natural-wood-pedestal-end-table-639923.html,https://www.worldmarket.com/dw/image/v2/BJWT_PRD/on/demandware.static/-/Sites-wm-master-catalog/default/dw9e8964cf/images/large/125478_XXX_v1.jpg?sw=385&sh=385&sm=fit&sfrm=jpg&q=80,2026-09-25 09:41 UTC,OK
19,(image embedded in xlsx),Carved Mango Wood Group of Figures Decor,Décor figure,"Hand-carved mango wood, central India",World Market,World Market,89.99,,"24.2""W x 3.7""D x 13.3""H",5.0,23,"[Tier B] 23 reviews, 5.0 avg; World Market 'Top Sellers' sort #26 for search 'mango wood'",https://www.worldmarket.com/p/carved-mango-wood-group-of-figures-decor-591505.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dw39ca1048/images/large/95893_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:43 UTC,OK
20,(image embedded in xlsx),White Wooden Pooja Mandir with Brass Bells & Doors,Mandir / pooja unit,"Solid mango wood, hand-painted white & gold (as stated)",Urli Utsav Decor,Urli Utsav Decor (own site),390.0,,30 in H (as stated by seller; see page),,,[Tier B] Retailer 'Best selling' sort: #1 in /collections/wooden-pooja-mandirs-bajot-chowki-usa (sort_by=best-selling). No public rating/review count on page,https://urliutsav.com/products/white-pooja-mandir-brass-bells,https://cdn.shopify.com/s/files/1/0579/1534/2899/files/whitemandir-urliutsav12.jpg?v=1768770308,2026-09-25 09:39 UTC,OK
21,(image embedded in xlsx),5' x 2' Natural Teak Finish Mandir with doors,Mandir / pooja unit,"Engineered wood, plywood, texture finish (as stated; ""natural teak finish"")",The Mandir Store,The Mandir Store (own site),899.0,1099.0,5 ft x 2 ft (per title),,,[Tier B] Retailer 'Best selling' sort: #1 in /collections/pooja-mandirs (sort_by=best-selling). No public rating/review count on page,https://themandirstore.us/products/5-x-2-natural-teak-finish-mandir-with-doors,https://cdn.shopify.com/s/files/1/0558/5997/0197/files/image_11.png?v=1785515295,2026-09-25 09:39 UTC,OK | not solid wood per seller copy
22,(image embedded in xlsx),Wooden White Pooja Chowki - 18x18x6.5-Inches Gold Bajot,Pooja stool / chowki,"Premium mango wood, hand-painted white & gold",Urli Utsav Decor,Urli Utsav Decor (own site),126.0,,18 x 18 x 6.5 in,,,[Tier B] Retailer 'Best selling' sort: #1 in /collections/chowki-bajot-pooja-stools (sort_by=best-selling). No public rating/review count on page,https://urliutsav.com/products/18x18x6-5-wooden-pooja-chowki-bajot,https://cdn.shopify.com/s/files/1/0579/1534/2899/files/PureWhiteChowki-UrliUtsav-main.jpg?v=1769372415,2026-09-25 09:39 UTC,OK
23,(image embedded in xlsx),"Hand-Painted Jharokha Mirror – 12x10 Inches, 8 Colours",Jharokha / carved wall piece,"MDF frame with glass mirror, hand-painted (as stated)",Urli Utsav Decor,Urli Utsav Decor (own site),60.0,,"12"" x 10"" x 10 mm",,,[Tier B] Retailer 'Best selling' sort: #1 in /collections/handcrafted-rajasthani-jharokha-decor (sort_by=best-selling). No public rating/review count on page,https://urliutsav.com/products/hand-painted-jharokha-mirror-12x10,https://cdn.shopify.com/s/files/1/0579/1534/2899/files/Jharokha-UrliUtsav-1.jpg?v=1739499307,2026-09-25 09:39 UTC,"OK | MDF, not solid wood"
24,(image embedded in xlsx),Cordoba Vintage Carved Mirror,Carved / wooden mirror,"Solid reclaimed teak, carved frame",World Interiors,World Interiors (own site),500.0,,"37""W x 1.5""D x 44.5""H",,,[Tier B] Retailer 'Best selling' sort: #1 in /collections/mirrors (sort_by=best-selling). No public rating/review count on page,https://worldinteriors.com/products/cordoba-vintage-carved-mirror,https://cdn.shopify.com/s/files/1/1871/5825/products/FIZ-MR44-1.jpg?v=1740007620,2026-09-25 09:39 UTC,OK
25,(image embedded in xlsx),Agra Reclaimed Wood Mirror,Carved / wooden mirror,Old reclaimed wood frame (floor mirror),Timbergirl,Timbergirl (own site),499.99,,"60"" H x 30"" W (as stated)",,,[Tier B] Retailer 'Best selling' sort: #1 in /collections/mirrors (sort_by=best-selling). No public rating/review count on page,https://timbergirl.com/products/agra-reclaimed-wood-mirror,https://cdn.shopify.com/s/files/1/0681/8414/6142/files/AA80000__99674.1710668117.1280.1280.jpg?v=1719700760,2026-09-25 09:39 UTC,OK (price shown; SOLD OUT at fetch)
26,(image embedded in xlsx),"Handcrafted Reclaimed Wood Wall Mirror – Rustic Rectangular Farmhouse Décor for Bathroom, Bedroom and Entryway",Carved / wooden mirror,Reclaimed wood frame,The Vintage Realm,The Vintage Realm (own site),103.95,135.0,Multiple sizes (price is lowest variant),,,[Tier B] Retailer 'Best selling' sort: #1 in /collections/mirror-frames (sort_by=best-selling). No public rating/review count on page,https://thevintagerealm.com/products/handcrafted-reclaimed-wood-wall-mirror-rustic-rectangular-farmhouse-decor-for-bathroom-bedroom-and-entryway,https://cdn.shopify.com/s/files/1/0626/9196/7157/files/handcrafted-reclaimed-wood-wall-mirror-rustic-rectangular-farmhouse-decor-for-bathroom-bedroom-and-entrywayprod-184-01-5329572.webp?v=1787686106,2026-09-25 09:39 UTC,OK | price = lowest of several size variants
27,(image embedded in xlsx),Mango Wood Coffee Table,Coffee table,"Solid mango wood, handmade",Timbergirl,Timbergirl (own site),799.99,,"16""H x 53""W x 28""D, 45 lb",,,[Tier B] Retailer 'Best selling' sort: #1 in /collections/coffee-table (sort_by=best-selling). No public rating/review count on page,https://timbergirl.com/products/mango-wood-coffee-table,https://cdn.shopify.com/s/files/1/0681/8414/6142/files/SUN_0229.jpg?v=1737567298,2026-09-25 09:39 UTC,OK (price shown; SOLD OUT at fetch)
28,(image embedded in xlsx),Rustic Low Coffee Table,Coffee table,Reclaimed wood,The Vintage Realm (Modern Karigar),The Vintage Realm (own site),789.25,1025.0,Multiple sizes (price = lowest variant),,,[Tier B] Retailer 'Best selling' sort: #1 in /collections/coffee-table (sort_by=best-selling). No public rating/review count on page,https://thevintagerealm.com/products/rustic-low-coffee-table,https://cdn.shopify.com/s/files/1/0626/9196/7157/files/rustic-low-coffee-tableprod-159-01-6418904.webp?v=1780394286,2026-09-25 09:39 UTC,OK | price = lowest of several size variants
29,(image embedded in xlsx),"Solid Natural Mango Wood Bench - 60""",Bench,Solid mango wood,Timbergirl,Timbergirl (own site),399.99,,"18""H x 60""W x 16""D",,,[Tier B] Retailer 'Best selling' sort: #1 in /collections/dining-benches-1 (sort_by=best-selling). No public rating/review count on page,https://timbergirl.com/products/solid-natural-mango-wood-bench-60,https://cdn.shopify.com/s/files/1/0681/8414/6142/files/SUN_2449_2.jpg?v=1753892427,2026-09-25 09:39 UTC,OK
30,(image embedded in xlsx),Solid Mango Wood Tall Bookcase,Bookshelf,Recycled/rough-sawn mango wood with iron,Timbergirl,Timbergirl (own site),799.99,,"71""H x 23.75""W x 15.75""D, 80 lb",,,[Tier B] Retailer 'Best selling' sort: #1 in /collections/towers-bookcases (sort_by=best-selling). No public rating/review count on page,https://timbergirl.com/products/reclaimed-wood-tall-rack,https://cdn.shopify.com/s/files/1/0681/8414/6142/files/86911955_01.png?v=1731354540,2026-09-25 09:39 UTC,OK
31,(image embedded in xlsx),Blayne 78-Inch Tall Live Edge Bookshelf,Bookshelf,"Acacia shelves, cast-iron frame",World Interiors,World Interiors (own site),1095.0,,78 in tall (per title),,,[Tier B] Retailer 'Best selling' sort: #1 in /collections/bookcases-shelving (sort_by=best-selling). No public rating/review count on page,https://worldinteriors.com/products/blayne-78-inch-tall-live-edge-bookshelf,https://cdn.shopify.com/s/files/1/1871/5825/products/ZWBABS34RW_add.jpg?v=1740007621,2026-09-25 09:39 UTC,OK
32,(image embedded in xlsx),Carved Wooden Mirror,Carved / wooden mirror,"Solid wood, hand-carved (as stated); made in India",TimorGreen (sold at Timbergirl),Timbergirl (own site),1171.99,,"As stated: 2""H x 81""L x 45""W (seller order looks inconsistent; check page)",,,[Tier B] Retailer 'Best selling' sort: #2 in /collections/mirrors (sort_by=best-selling). No public rating/review count on page,https://timbergirl.com/products/rhu-home-carved-wooden-mirror,https://cdn.shopify.com/s/files/1/0681/8414/6142/files/AAM257_3_Web__79113__67594.1650996873.1280.1280.jpg?v=1719703009,2026-09-25 09:39 UTC,OK
33,(image embedded in xlsx),"Summit 54"" Modern Coffee Table in Capri Sheesham",Coffee table,"100% solid sheesham, iron base",World Interiors,World Interiors (own site),824.0,,"54""W x 28""D x 18""H",,,[Tier B] Retailer 'Best selling' sort: #2 in /collections/sheesham-wood (sort_by=best-selling). No public rating/review count on page,https://worldinteriors.com/products/summit-54-modern-coffee-table-in-capri-sheesham,https://cdn.shopify.com/s/files/1/1871/5825/files/fsvl-ct54cs_3q1.jpg?v=1740006913,2026-09-25 09:39 UTC,OK
34,(image embedded in xlsx),Timbergirl Old reclaimed wood Console Table,Console table,Reclaimed wood (saal) with iron handles,Timbergirl,Timbergirl (own site),799.99,899.99,"60""W x 16""D x 31.5""H, 50 lb",,,[Tier B] Retailer 'Best selling' sort: #2 in /collections/console-tables (sort_by=best-selling). No public rating/review count on page,https://timbergirl.com/products/timbergirl-old-reclaimed-wood-console-table,https://cdn.shopify.com/s/files/1/0681/8414/6142/files/SUN_AA1473_2.png?v=1729543126,2026-09-25 09:39 UTC,OK
35,(image embedded in xlsx),"Timbergirl Suman Rustic Multicolor Bench - 50""",Bench,"Solid mango wood, rustic multicolour",Timbergirl,Timbergirl (own site),329.99,,"18""H x 50""W x 16""D (60"" W also available)",,,[Tier B] Retailer 'Best selling' sort: #2 in /collections/dining-benches-1 (sort_by=best-selling). No public rating/review count on page,https://timbergirl.com/products/timbergirl-suman-rustic-multicolor-bench-50,https://cdn.shopify.com/s/files/1/0681/8414/6142/files/SUN_7914.jpg?v=1729703958,2026-09-25 09:39 UTC,OK
36,(image embedded in xlsx),White and Gold Wall Hanging Pooja Mandir,Mandir / pooja unit,"Solid mango wood, hand-painted, carved jaali detailing",Urli Utsav Decor,Urli Utsav Decor (own site),275.0,,Two sizes; wall-hanging or floor-standing (see page),,,[Tier B] Retailer 'Best selling' sort: #3 in /collections/wooden-pooja-mandirs-bajot-chowki-usa (sort_by=best-selling). No public rating/review count on page,https://urliutsav.com/products/compact-white-gold-wooden-temple,https://cdn.shopify.com/s/files/1/0579/1534/2899/files/GoldMandir-8.jpg?v=1770973128,2026-09-25 09:39 UTC,OK
37,(image embedded in xlsx),5' x 2' White Wooden Pooja Mandir with Doors for Home,Mandir / pooja unit,"Engineered wood, plywood, white finish (as stated)",The Mandir Store,The Mandir Store (own site),1099.0,1399.0,5 ft x 2 ft (per title),,,[Tier B] Retailer 'Best selling' sort: #3 in /collections/pooja-mandirs (sort_by=best-selling). No public rating/review count on page,https://themandirstore.us/products/5-x-2-white-wooden-pooja-mandir-with-doors,https://cdn.shopify.com/s/files/1/0558/5997/0197/files/image_12.png?v=1785515388,2026-09-25 09:39 UTC,OK | seller copy: backorder from incoming container
38,(image embedded in xlsx),Rajasthani Jharokha Mirror with Opening Doors – 20x16 Inches,Jharokha / carved wall piece,MDF panel with glass mirror; brass hinges (as stated),Urli Utsav Decor,Urli Utsav Decor (own site),160.0,,"20"" x 16"" x 12 mm",,,[Tier B] Retailer 'Best selling' sort: #3 in /collections/handcrafted-rajasthani-jharokha-decor (sort_by=best-selling). No public rating/review count on page,https://urliutsav.com/products/rajasthani-jharokha-20x16-inches-mirror-frame,https://cdn.shopify.com/s/files/1/0579/1534/2899/files/RajasthaniMirrorJharokha5.jpg?v=1735351936,2026-09-25 09:39 UTC,"OK | MDF, not solid wood"
39,(image embedded in xlsx),Seesham Wood Coffee Table,Coffee table,"Solid sheesham wood, handmade",Timbergirl,Timbergirl (own site),599.99,,"16""H x 53""W x 28""D, 45 lb",,,[Tier B] Retailer 'Best selling' sort: #3 in /collections/coffee-table (sort_by=best-selling). No public rating/review count on page,https://timbergirl.com/products/seesham-wood-coffee-table,https://cdn.shopify.com/s/files/1/0681/8414/6142/files/SUN_8086.jpg?v=1744654739,2026-09-25 09:39 UTC,OK
40,(image embedded in xlsx),CRAFT Indra Espresso Carved Wood Elephant Storage Cabinet,Storage cabinet / chest,"Hand-carved wood (species not stated), metal base",World Market,World Market,479.99,699.99,"35.5""W x 15.5""D x 47.5""H, 121 lb",4.9,14,"[Tier C] 14 reviews, 4.9 avg; World Market 'Top Sellers' sort #14 for search 'carved wood'",https://www.worldmarket.com/p/craft-indra-espresso-carved-wood-elephant-storage-cabinet-659257.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dw999fc2d1/images/large/136031_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK | tile status: out of stock | on sale (list 699.99)
41,(image embedded in xlsx),Nisha Hand Carved Wood Medallion Dining Bench,Bench,"Mango wood, hand-carved medallion apron",World Market,World Market,279.99,349.99,"53""W x 16""D x 18.5""H, 35 lb",4.8,12,"[Tier C] 12 reviews, 4.8 avg; World Market 'Top Sellers' sort #12 for search 'wood bench'",https://www.worldmarket.com/p/nisha-hand-carved-wood-medallion-dining-bench-643234.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dw103d11e6/images/large/127134_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK
42,(image embedded in xlsx),Mango Wood Arched Antique Floral Hand Painted Wall Mirror,Carved / wooden mirror,"Mirrored glass and mango wood, hand-painted crackle finish",World Market,World Market,149.99,,"36""W x 1""D x 24""H, 15 lb",5.0,7,"[Tier C] 7 reviews, 5.0 avg; World Market 'Top Sellers' sort #2 for search 'mango wood'",https://www.worldmarket.com/p/mango-wood-arched-antique-floral-hand-painted-wall-mirror-655680.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dw618345f1/images/large/134392_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK
43,(image embedded in xlsx),30-Inches White & Gold Wooden Pooja Mandir with Hanging Bells,Mandir / pooja unit,"Solid mango wood, hand-embossed painting",Urli Utsav Decor,Urli Utsav Decor (own site),395.0,,"30""H x 24""W x 12""D",,,[Tier C] Retailer 'Best selling' sort: #4 in /collections/wooden-pooja-mandirs-bajot-chowki-usa (sort_by=best-selling). No public rating/review count on page,https://urliutsav.com/products/white-gold-wooden-pooja-mandir-brass-bells,https://cdn.shopify.com/s/files/1/0579/1534/2899/files/PoojaMandirWithBell-UrliUtsav-main.jpg?v=1769371926,2026-09-25 09:39 UTC,OK
44,(image embedded in xlsx),5.5' x 2.5' Premium White Finish Mandir with doors,Mandir / pooja unit,"Engineered wood, plywood, white finish (as stated)",The Mandir Store,The Mandir Store (own site),1399.0,1599.0,5.5 ft x 2.5 ft (per title),,,[Tier C] Retailer 'Best selling' sort: #4 in /collections/pooja-mandirs (sort_by=best-selling). No public rating/review count on page,https://themandirstore.us/products/5-x-2-premium-white-finish-mandir-with-doors,https://cdn.shopify.com/s/files/1/0558/5997/0197/files/image_14.png?v=1785516483,2026-09-25 09:39 UTC,OK
45,(image embedded in xlsx),"Elephant Stool Side Table - Dark Brown Wood, 4 Designs",Pooja stool / chowki,"Solid mango wood, hand-carved & hand-painted",Urli Utsav Decor,Urli Utsav Decor (own site),135.0,,"~14 in H, 13 in round top, 18 in wide",,,[Tier C] Retailer 'Best selling' sort: #4 in /collections/handcrafted-table-decor (sort_by=best-selling). No public rating/review count on page,https://urliutsav.com/products/elephant-stool-side-table-dark-brown,https://cdn.shopify.com/s/files/1/0579/1534/2899/files/BrownWoodColor-ElephantStool-1.jpg?v=1736138292,2026-09-25 09:39 UTC,OK | sold singly; doubles as side table
46,(image embedded in xlsx),"Wooden Elephant Head Wall Art - 17-Inch Hand-Carved, 6 Colours",Jharokha / carved wall piece,"Mango wood, hand-carved, hand-painted",Urli Utsav Decor,Urli Utsav Decor (own site),80.0,,17 in H x 14.3 in W x 5 in D,,,[Tier C] Retailer 'Best selling' sort: #4 in /collections/indian-handcrafted-wall-arts (sort_by=best-selling). No public rating/review count on page,https://urliutsav.com/products/16-hand-painted-wooden-elephant-head-ethnic-wall-decor,https://cdn.shopify.com/s/files/1/0579/1534/2899/files/ElphantHeadSet2.jpg?v=1740714316,2026-09-25 09:39 UTC,OK
